"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Croatia,"344,747",,"7,503",,"328,993",,"8,251",229,"84,424","1,837","1,881,294","460,704","4,083,518"
Azerbaijan,"327,087",,"4,698",,"307,011",,"15,378",,"32,013",460,"3,337,931","326,693","10,217,339"
Georgia,"322,468",,"4,305",,"302,428",,"15,735",,"80,969","1,081","4,372,374","1,097,870","3,982,596"
Tunisia,"321,837",,"11,468",,"279,634",,"30,735",489,"26,990",962,"1,367,473","114,679","11,924,336"
Bolivia,"318,610",,"13,228",,"261,552",,"43,830",158,"26,980","1,120","1,246,347","105,542","11,808,990"
Palestine,"302,249",,"3,378",,"287,206",,"11,665",78,"58,099",649,"1,777,458","341,666","5,202,328"
Paraguay,"299,684",,"7,209",,"248,587",,"43,888",565,"41,580","1,000","1,157,652","160,620","7,207,388"
Kuwait,"286,046",,"1,652",,"270,883",,"13,511",210,"66,146",382,"2,411,948","557,743","4,324,481"
Dominican Republic,"272,108",,"3,540",,"231,963",,"36,605",228,"24,871",324,"1,447,753","132,325","10,940,917"
Costa Rica,"271,478",,"3,430",,"214,788",,"53,260",433,"52,879",668,"1,033,203","201,251","5,133,901"
Ethiopia,"263,120",,"3,897",,"211,493",,"47,730",739,"2,242",33,"2,624,176","22,355","117,385,440"
Denmark,"259,988",,"2,497",,"246,169",,"11,322",27,"44,751",430,"43,075,376","7,414,418","5,809,677"
Lithuania,"258,623",,"4,045",,"232,219",,"22,359",181,"96,157","1,504","2,981,046","1,108,364","2,689,592"
Ireland,"253,189",,"4,921",,"235,722",,"12,546",31,"50,791",987,"4,673,378","937,502","4,984,926"
Moldova,"252,798",,"5,958",,"243,731",,"3,109",170,"62,793","1,480","1,020,802","253,558","4,025,917"
Slovenia,"246,231",,"4,299",,"232,983",,"8,949",133,"118,427","2,068","1,207,076","580,553","2,079,183"
Egypt,"238,560",,"13,972",,"177,440",,"47,148",90,"2,294",134,"2,715,258","26,113","103,979,506"
Guatemala,"235,304",,"7,736",,"214,601",,"12,967",5,"12,930",425,"1,308,883","71,924","18,198,073"
Uruguay,"222,870",,"3,171",,"194,964",,"24,735",524,"63,969",910,"1,919,711","551,001","3,484,044"
Honduras,"220,988",803,"5,701",36,"81,639",257,"133,648",535,"22,013",568,"656,966","65,441","10,039,017"
Armenia,"219,353",,"4,249",,"205,200",,"9,904",,"73,906","1,432","1,016,681","342,549","2,967,990"
Qatar,"211,389",,512,,"202,552",,"8,325",231,"75,286",182,"1,949,350","694,261","2,807,805"
Venezuela,"209,162",,"2,304",,"192,075",,"14,783",316,"7,373",81,"3,359,014","118,414","28,366,786"
Oman,"202,137",,"2,138",,"185,607",,"14,392",263,"38,745",410,"1,550,000","297,103","5,217,053"
Bosnia and Herzegovina,"201,217",,"8,862",,"166,047",,"26,308",,"61,661","2,716","929,119","284,719","3,263,287"
Bahrain,"191,018",,691,,"176,338",,"13,989",144,"109,048",394,"4,256,020","2,429,668","1,751,688"
Libya,"180,226",,"3,072",,"166,680",,"10,474",,"25,928",442,"976,516","140,484","6,951,081"
Nigeria,"165,468",,"2,065",,"156,318",,"7,085",11,786,10,"1,939,165","9,213","210,484,782"
Kenya,"163,620",,"2,907",,"112,298",,"48,415",133,"2,987",53,"1,721,122","31,419","54,779,649"
North Macedonia,"154,051",,"5,109",,"138,370",,"10,572",124,"73,946","2,452","740,005","355,208","2,083,301"
Myanmar,"142,963",,"3,210",,"132,045",,"7,708",,"2,613",59,"2,591,905","47,365","54,721,993"
Albania,"131,753",,"2,416",,"118,041",,"11,296",18,"45,826",840,"657,917","228,833","2,875,101"
Sri Lanka,"128,530",,827,,"105,611",,"22,092",,"5,981",38,"2,951,123","137,324","21,490,154"
S. Korea,"128,283",511,"1,879",4,"118,717",873,"7,687",171,"2,500",37,"9,164,284","178,617","51,307,017"
Estonia,"125,337",,"1,204",,"116,024",,"8,109",43,"94,430",907,"1,331,851","1,003,429","1,327,300"
Latvia,"124,301",,"2,213",,"113,214",,"8,874",81,"66,533","1,185","2,406,226","1,287,950","1,868,260"
Algeria,"124,288",,"3,335",,"86,554",,"34,399",28,"2,791",75,"230,861","5,185","44,526,148"
Cuba,"117,097",,741,,"110,312",,"6,044",130,"10,344",65,"3,861,456","341,097","11,320,686"
Norway,"117,022",,767,,"88,952",,"27,303",24,"21,442",141,"5,337,838","978,072","5,457,510"
Kyrgyzstan,"98,654",,"1,660",,"91,816",,"5,178",85,"14,911",251,"1,029,512","155,609","6,616,017"
Montenegro,"98,365",,"1,544",,"95,070",,"1,751",64,"156,599","2,458","386,882","615,923","628,134"
Uzbekistan,"94,759",,662,,"90,292",,"3,805",23,"2,797",20,"1,377,915","40,667","33,883,283"
Ghana,"93,011",,783,,"90,697",,"1,531",7,"2,941",25,"1,108,763","35,059","31,625,366"
Zambia,"92,112",,"1,257",,"90,501",,354,42,"4,894",67,"1,442,516","76,643","18,821,296"
Finland,"88,866",,922,,"46,000",,"41,944",28,"16,017",166,"4,644,003","837,044","5,548,099"
Thailand,"86,924","1,919",452,31,"57,037","1,829","29,435","1,138","1,243",6,"8,124,896","116,153","69,950,079"
Cameroon,"74,946",,"1,152",,"70,497",,"3,297",385,"2,765",42,"1,518,411","56,014","27,107,817"
El Salvador,"70,380",,"2,158",,"65,921",,"2,301",28,"10,804",331,"936,793","143,807","6,514,231"
Mozambique,"70,283",,825,,"67,799",,"1,659",29,"2,196",26,"528,627","16,520","31,999,261"
Cyprus,"69,708",,337,,"39,061",,"30,310",64,"57,379",277,"5,445,807","4,482,588","1,214,880"
Luxembourg,"68,431",,804,,"65,460",,"2,167",31,"107,822","1,267","2,729,113","4,300,078","634,666"
Afghanistan,"62,403",,"2,710",,"54,382",,"5,311","1,124","1,573",68,"422,649","10,653","39,674,585"
Singapore,"61,378",,31,,"60,953",,394,3,"10,421",5,"9,906,797","1,682,052","5,889,708"
Namibia,"50,209",,691,,"47,384",,"2,134",50,"19,460",268,"401,470","155,600","2,580,136"
Botswana,"49,041",,751,,"46,290",,"2,000",1,"20,501",314,"1,086,267","454,110","2,392,078"
Jamaica,"46,782",,809,,"22,395",,"23,578",15,"15,740",272,"345,463","116,230","2,972,237"
Ivory Coast,"46,443",,291,,"45,874",,278,,"1,724",11,"608,960","22,610","26,933,804"
Mongolia,"45,936",477,179,9,"34,230","1,570","11,527",123,"13,822",54,"2,793,005","840,423","3,323,332"
Uganda,"42,384",,346,,"41,971",,67,24,902,7,"1,042,169","22,190","46,966,406"
Senegal,"40,714",,"1,120",,"39,410",,184,12,"2,378",65,"491,521","28,712","17,118,966"
Madagascar,"39,162",,729,,"36,255",,"2,178",309,"1,384",26,"192,294","6,796","28,296,237"
Zimbabwe,"38,433",,"1,576",,"36,208",,649,12,"2,554",105,"434,876","28,900","15,047,621"
Maldives,"37,019",,87,,"26,547",,"10,385",90,"67,471",159,"767,090","1,398,110","548,662"
Sudan,"34,272",,"2,446",,"27,949",,"3,877",,766,55,"232,965","5,209","44,720,441"
Malawi,"34,180",,"1,153",,"32,164",,863,11,"1,748",59,"236,537","12,099","19,550,192"
Malta,"30,458",,417,,"29,828",,213,,"68,824",942,"885,309","2,000,468","442,551"
DRC,"30,350",,772,,"26,434",,"3,144",,330,8,"152,633","1,661","91,872,203"
Australia,"29,936",5,910,,"28,758",,268,1,"1,162",35,"17,267,572","670,515","25,752,709"
Angola,"28,875",,636,,"24,772",,"3,467",21,856,19,"516,845","15,321","33,733,691"
Cabo Verde,"26,578",,235,,"23,402",,"2,941",23,"47,364",419,"155,650","277,377","561,149"
Rwanda,"25,714",,338,,"24,155",,"1,221",,"1,944",26,"1,347,380","101,879","13,225,276"
Gabon,"23,565",,143,,"20,051",,"3,371",19,"10,379",63,"754,964","332,522","2,270,419"
Syria,"23,439",,"1,664",,"19,024",,"2,751",,"1,312",93,"103,566","5,798","17,862,285"
Guinea,"22,633",,150,,"20,231",,"2,252",24,"1,685",11,"443,518","33,011","13,435,484"
Réunion,"21,601",,150,,"19,848",,"1,603",36,"23,980",167,"102,720","114,035","900,780"
French Guiana,"20,644",,106,,"9,995",,"10,543",18,"67,627",347,"227,931","746,671","305,263"
Mayotte,"20,134",,170,,"2,964",,"17,000",4,"72,317",611,"174,251","625,870","278,414"
Cambodia,"19,743",,126,,"7,820",,"11,797",,"1,167",7,"1,001,529","59,204","16,916,534"
French Polynesia,"18,797",,141,,"18,617",,39,1,"66,586",499,"26,355","93,359","282,298"
Mauritania,"18,691",,456,,"17,918",,317,14,"3,932",96,"244,473","51,430","4,753,541"
Eswatini,"18,482",,671,,"17,784",,27,3,"15,791",573,"193,179","165,049","1,170,433"
Guadeloupe,"15,360",,210,,"2,242",,"12,908",18,"38,382",525,"187,796","469,275","400,183"
Guyana,"14,442",,327,,"12,267",,"1,848",16,"18,286",414,"130,624","165,388","789,802"
Somalia,"14,415",,747,,"6,191",,"7,477",,886,46,"118,345","7,274","16,269,885"
Mali,"14,115",,502,,"9,039",,"4,574",,680,24,"279,254","13,461","20,746,149"
Trinidad and Tobago,"13,454",,215,,"9,381",,"3,858",71,"9,587",153,"145,268","103,514","1,403,371"
Andorra,"13,429",,127,,"13,021",,281,12,"173,566","1,641","193,595","2,502,165","77,371"
Burkina Faso,"13,382",,162,,"13,164",,56,,626,8,"182,321","8,524","21,390,267"
Tajikistan,"13,308",,90,,"13,218",,0,,"1,369",9,,,"9,719,991"
